brand,name,seller,reviews_rating_number,reviews_amount,old_money,new_money
,Notebook Games Amd Ryzen 7 5700u 16gb Ram 512gb Ssd 16.1'',,,,7.534,3.088
LENOVO,Notebook Gamer Lenovo Loq-e Ci5 Rtx3050 512gb 16gb W11+ubook,Por Mobcom ,,,6.499,4.799
LENOVO,Notebook Lenovo LOQ-e 15iax9e Intel Core i5-12450hx 16gb 512gb Ssd Rtx 3050 Windows 11 15.6 - 83me0007br Luna Grey,Por Mobcom ,4.9,(301),5.859,4.654
,Notebook Positivo Vision C14 Lumina BAR Celeron 4GB 128GB eMMC Tela 14 Polegadas HD Antirreflexo Windows 11 Tecla Link – Cinza,Por Positivo ,4.6,(4217),1.799,1.399
HP,Notebook Hp 256r G9 Intel Core I3-1315u 15.6 Hd Intel Uhd Graphics 256gb Ssd 8gb Ram Windows 11 Home 64 Sl - AN1A2LA#AK4,Por HP ,4.9,(234),3.399,2.699
LENOVO,Notebook Lenovo Ideapad 1i Celeron Office 365 4gb 128gb W11,Por Vikings ,4.7,(295),2.712,1.747
SAMSUNG,"Notebook Samsung Galaxy Book4 Intel® U300 (1.20 Ghz, até 4.4GHz, 8 MB L3 Cache), Windows 11 Home, 8GB, 256GB SSD, UHD Graphics, 15.6'' Full HD LED, 1.55kg",Por Vikings ,4.8,(7605),4.499,2.899
LENOVO,"Notebook Lenovo Ideapad 1 Intel Core i3 1215U 8GB RAM 256GB SSD Windows 11 Home Tela 15,6"" 82VY000SBR",Por Vikings ,4.8,(5097),3.998,2.747
LENOVO,"Notebook Lenovo Ideapad 1i Intel Core i5 - 1235U, 8GB RAM, 512GB SSD, Windows 11 Home, Tela 15,6'' HD - 82VY000QBR",Por INPOWER ,4.8,(4460),4.399,2.959
ACER,"Notebook Acer A515-57-5429 Intel Core i5-12450H 16GB RAM 512GB SSD Tela de 15,6'' Linux Gutta",Por Acer Brasil ,4.8,(1361),4.285,3.856
ASUS,"Notebook ASUS Vivobook Go 15 E1504 AMD RYZEN 5 7520U 8GB Ram 256GB SSD Linux KeepOS 15,6” FHD Black E1504FA-NJ731",Por Mercado Livre ,4.8,(802),2.649,2.516
DELL,Notebook Dell Inspiron I15-i120k-a35p I5 16gb 1tb 15.6 W11,Por Dell ,4.8,(1886),4.399,4.178
ACER,Notebook Acer Aspire 15 A15-51M-56KR / Intel® Core™ i5-13420H 13ª geração / 16 GB / 512SSD / 15.6” Full HD,Por Vikings ,4.8,(391),4.855,3.399
ACER,Notebook Gamer Acer Nitro V Intel Core i7 13ª Geração 16GB 512GB RTX4050 Linux Gutta 15.6' FHD ANV15-51-7037,Por Acer Brasil ,4.8,(1747),7.299,6.399
,"Notebook VAIO FE15 Intel Core i5 12th 16GB 512GB SSD Tela 15,6'' Full HD Antirreflexo Windows 11 Home Cinza Grafite B2621H",Por INPOWER ,4.8,(602),4.599,3.699
,"Notebook Positivo Duo 2 em 1 Intel Celeron C4128B-3 4GB 128GB 11,6"" IPS HD Windows 11",Por Positivo ,4.5,(4847),1.649,1.469
ACER,Notebook Acer Aspire 5 A515-45-r0xr Ryzen7 8gb 256gb Ssd 15.6 Full Hd Linux Gutta,Por Vikings ,4.8,(695),4.141,2.882
ACER,"Notebook Gamer Acer Nitro V ANV15-51-57WS Intel® Core™ i5-13420H 13ªGeração 512SSD 8GB Nvidia® GeForce® RTX 3050 GDDR6 Linux Gutta 15,6'",Por Acer Brasil ,4.8,(3258),5.299,4.899
DELL,Notebook Dell Inspiron I15-i120k-a25p I5 8gb 512gb 15.6 W11,Por Dell ,4.8,(1551),3.698,2.991
,Notebook Positivo Vision C15 Lumina Bar Celeron 4gb 128gb Emmc Tela 15 Hd Antirreflexo Windows 11 Tecla Link Cinza,Por Positivo ,4.6,(3262),1.999,1.499
ACER,"Notebook Acer Aspire 3 Intel Core i3– N305 FHD 15.6"" LED TN UHD para processadores Inte 256GB SDD 8GB RAM Debian 64 bits Prata - A315-510P-320B",Por Eshop ,4.8,(339),3.237,2.390
ACER,Notebook Acer Nitro V15 ANV15-51-58AZ Core I5-13420h 8gb 512gb Rtx 3050 Cor Preto,Por Mercado Livre ,4.8,(1074),7.398,4.799
ACER,"Notebook Acer Aspire 5 Intel Core I5 - 12450H 8GB RAM 256GB SSD Windows 11 Home Tela 15,6"" Full HD A515-57-55B8 Bivolt",Por Eshop ,4.8,(7458),4.499,2.959
ASUS,"Notebook Gamer ASUS TUF Gaming A15, Ryzen 7, RTX 2050, 8GB RAM, 512GB SSD, Tela 15.6 IPS 144Hz, Linux KeepOS, Graphite Black - FA506NFR-HN069",Por Mercado Livre ,4.8,(87),4.999,4.055
ACER,"Notebook Acer Aspire 15 73wh Intel Ci7 13620H 13ªGen GB RAM 512GB SSD Fhd 15.6"" 64-Bits (Debian)",Por Acer Brasil ,4.6,(98),4.299,3.799
ASUS,"Notebook Asus X515 Intel Celeron Dual Core N4500 4gb Ram 128gb Ssd Windows 11 Home Tela 15,6 Led Hd Slate Grey - Br309ws",Por Mercado Livre ,4.7,(470),1.899,1.749
ACER,"Notebook Gamer Acer Nitro V15 I7-13620h 13ªGen 8gb 512gb Rtx3050 6gb Linux 15.6"" FHD Preto - Anv15-51-7837",Por INPOWER ,4.6,(71),5.899,4.939
DELL,Notebook Dell Inspiron I15-i120k-a15p I3 8gb 512gb 15.6 W11,Por Dell ,4.8,(880),3.199,3.039
ACER,Notebook Acer Aspire 5 Ryzen 7 15.6 Radeon 512gb 8gb Linux,Por Mobcom ,4.9,(929),3.494,2.799
,"Notebook Positivo Vision Intel Core i3 8gb RAM 256gb Ssd Tela 15.6"" Full Hd Linux - Preto",Por 123 Comprou ,4.7,(87),3.284,2.024
,"Notebook Positivo Vision C15 Lumina Bar Celeron, 8GB 128GB eMMC, Tela 15.6"" HD Antirreflexo, Windows 11, Tecla Link, Cinza",Por Positivo ,4.6,(1001),2.955,1.709
ACER,"Notebook Acer Aspire 3 Intel Core I3 - N305, 8G RAM, 256GB SSD, Windows 11 Home, Tela 15,6"" Full HD - A315-510P-34XC 110V/220V",Por Mercado Livre ,4.8,(8746),3.682,2.699
,"Notebook Vaio Fe16 Amd Ryzen 7-5825u Linux 16gb 512gb Ssd Wi-Fi 6 Tela 16"" Ips Wuxga Antirreflexo Cinza Grafite Vjfe69f11xb0121h Memória Expansível até 64GB",Por Vaio ,5.0,(20),4.799,3.297
,"Apple MacBook Air (13 polegadas, 2020, Chip M1, 256 GB de SSD) - Cinza-espacial",,4.9,(1064),5.480,526
LENOVO,Notebook Lenovo Ideapad 1 Ryzen 5 7520U 8gb 512gb W11 15.6 HD 82x5000gbr,Por Lenovo ,4.8,(793),2.439,234
,Notebook Multi Ultra Celeron N4020c 4gb 128gb W11 14'' Cinza,Por 123 Comprou ,4.6,(470),2.064,1.250
LENOVO,Notebook Lenovo Ideapad 1 Ryzen 5 - 7520u 8gb 512gb Ssd Linux 15.6 82X5S00500,Por Lenovo ,4.8,(793),2.179,209
ASUS,"Notebook Asus Vivobook 15 X1504za Intel Core I5 1235u 8gb Ram 512gb Ssd Windows 11 Tela 15,6 Fhd Silver - Nj986w",Por Fast Shop ,4.9,(255),2.858,238
HP,Notebook Hp 250r G9 Intel Core I5 1335u 8gb 256gb Ssd 15.6 W11 Pro Ay6w3la,Por 2Eletro ,4.2,(5),7.000,2.999
ACER,Notebook Acer Aspire 15 555Q Intel Ci5 13gen 8gb 256ssd W11,Por Mercado Livre ,4.8,(408),4.372,2.789
LENOVO,Notebook Ideapad 1 R3 8gb 256gb W11 15.6 82x5000abr AMD Ryzen 3,Por Lenovo ,4.8,(793),2.269,218
LENOVO,"Notebook Lenovo Ideapad 1i Intel Core i3 1215U 4GB 256GB Linux 15,6"" HD 82VYS00600",Por Lenovo ,4.8,(5097),1.979,190
ASUS,Notebook Asus Vivobook Go Core I3 N305 4gb 256ssd W11 Fhd,Por Mercado Livre ,4.8,(561),2.599,2.369
ASUS,"Notebook Asus Vivobook 15 X1504za Intel Core I5 1235u 8gb Ram 256gb Ssd Linux Keepos Tela 15,6 Fhd Blue - Nj982",Por Mercado Livre ,4.7,(217),3.195,3.035
ASUS,"Notebook Asus Vivobook 15 X1504va Intel Core I5 1334u 16gb Ram 512gb Ssd Linux Keepos Intel Iris Xe Tela 15,6 Led Fhd Blue - Nj1746",Por Asus ,4.8,(12),3.599,3.113
ASUS,"Notebook ASUS Vivobook Go E1504GA Intel Core i3 N305 8GB Ram 512GB SSD Windows 11 Tela 15,6"" FHD Silver - NJ435W",Por Fast Shop ,4.9,(640),2.528,210
,"Notebook Vaio Fe16 Amd Ryzen 5-5625u Linux 12gb 512gb Ssd Tela 16"" Ips Wuxga Antirreflexo Cinza Grafite Vjfe69f11x-b1211h Memória Expansível até 64GB",Por Eshop ,4.8,(20),3.849,3.069
,"Notebook Vaio Fe16 Amd Ryzen 7-5825u Linux 32gb 512gb Ssd Wi-Fi 6 Tela 16"" Ips Wuxga Antirreflexo - Cinza Grafite - Vjfe69f11xb0221h - Memória Expansível até 64GB",Por Vaio ,4.8,(23),4.999,3.782
DELL,Notebook Dell 15.6 Fhd I5 8gb 512gb Ssd Rtx 3050,Por Dell ,4.9,(57),5.699,5.399
ASUS,Notebook Asus Vivobook 16 Intel Core I7 1355U 16GB RAM 1TB SSD Windows 11 Home Tela 16 Fhd Cool Silver – X1605VA-MB764W,Por Mercado Livre ,4.8,(142),5.199,433
